Date,EGIE3,ITSA4,BBDC4,BBSE3
10/17/2016,32.040001,8.10997,21.804399,31.92
10/18/2016,32.487999,8.21835,22.3347,32.299999
10/19/2016,32.152,8.16416,22.1763,32.330002
10/20/2016,32.391998,8.20028,22.5,32.330002
10/21/2016,32.528,8.13707,22.286501,32.049999
10/24/2016,32.431999,8.09191,22.073,31.809999
10/25/2016,32.400002,7.98354,21.9697,31.639999
10/26/2016,32.360001,8.0016,21.880199,31.219999
10/27/2016,32.48,8.17319,22.245199,31.450001
10/28/2016,32.400002,8.19125,22.327801,31.34
10/31/2016,32.439999,8.52541,23.0303,32.139999
11/1/2016,31.440001,8.33575,22.3554,31.110001
11/3/2016,30.848,8.17319,21.8113,29.799999
11/4/2016,30.6,8.33575,21.8113,29.549999
11/7/2016,31.271999,8.53444,22.568899,30.780001
11/8/2016,31.440001,8.57959,22.555099,30.5
11/9/2016,30.92,8.39897,21.935301,30.18
11/10/2016,29.615999,7.96547,19.9793,28.700001
11/11/2016,28.120001,7.74873,20.0138,28.1
11/14/2016,28.32,7.7397,20.1584,28.1
11/16/2016,28.879999,7.99257,20.461399,29.07
11/17/2016,28.719999,7.80291,19.8209,28.65
11/18/2016,28.768,7.92935,20.1653,28.99
11/21/2016,28.559999,8.01063,20.2824,28.91
11/22/2016,28.544001,8.01063,20.420099,29.129999
11/23/2016,28.488001,7.86613,20.5096,28.709999
11/24/2016,28.4,7.80291,20.316799,28.16
11/25/2016,28.344,7.76679,20.4132,27.92
11/28/2016,28.736,7.83904,20.667999,28.65
11/29/2016,28.4,7.68551,20.0138,27.940001
11/30/2016,28.68,7.77582,20.489,28.290001
12/1/2016,27.368,7.37845,19.345699,26.950001
12/2/2016,27.455999,7.40554,19.641899,27.5
12/5/2016,27.208,7.36942,19.538601,27
12/6/2016,27.528,7.53198,19.9587,27.200001
12/7/2016,27.336,7.55004,19.8347,27.4
12/8/2016,27.208,7.54101,19.628099,27
12/9/2016,27.280001,7.58617,19.889799,26.709999
12/12/2016,26.927999,7.28814,19.0634,25.82
12/13/2016,27.200001,7.32426,19.139099,26.66
12/14/2016,27.087999,7.27911,18.9118,26.309999
12/15/2016,27.191999,7.27911,18.973801,26.620001
12/16/2016,27.247999,7.24298,18.870501,26.469999
12/19/2016,27.200001,7.11655,18.4573,26.299999
12/20/2016,26.816,7.1888,18.8568,26.49
12/21/2016,26.903999,7.1888,18.6984,26.280001
12/22/2016,27.224001,7.24298,18.422899,27.1
12/23/2016,27.312,7.13461,18.8085,27.25
12/26/2016,27.384001,7.22492,19.152901,27.33
12/27/2016,27.360001,7.19783,18.9669,26.91
12/28/2016,27.84,7.29717,19.6488,27.99
12/29/2016,28,7.47779,19.9725,28.299999
1/2/2017,27.879999,7.41457,19.8347,27.82
1/3/2017,28.959999,7.7397,20.6612,28.809999
1/4/2017,28.591999,7.78485,20.5303,29.719999
1/5/2017,28.384001,7.8571,20.757601,29.120001
1/6/2017,28.032,7.83001,20.888399,28.67
1/9/2017,28.056,7.91129,20.916,29.32
1/10/2017,28.040001,7.8571,20.916,29.559999
1/11/2017,27.84,7.91129,21.0744,28.709999
1/12/2017,28.24,8.12803,21.5702,28.4
1/13/2017,28.304001,8.04675,21.3981,27.25
1/16/2017,27.983999,8.04675,21.4394,27.049999
1/17/2017,28.440001,8.20932,22.052299,27.450001
1/18/2017,28.52,8.16416,21.832001,27.26
1/19/2017,28.639999,8.15513,21.8113,27.18
1/20/2017,28.68,8.24544,21.708,27.33
1/23/2017,28.992001,8.45316,22.203899,27.709999
1/24/2017,28.424,8.35381,22.121201,27.360001
1/26/2017,28.927999,8.38994,22.6171,28.200001
1/27/2017,28.879999,8.38091,22.6859,28.77
1/30/2017,28.488001,8.28156,22.286501,28.299999
1/31/2017,28.639999,8.38091,22.5207,27.91
2/1/2017,28.52,8.41703,22.3347,27.66
2/2/2017,28.896,8.408,21.4876,27.790001
2/3/2017,29.16,8.57056,22.011,27.629999
2/6/2017,29.040001,8.44413,21.556499,28.030001
2/7/2017,29.007999,8.56153,21.521999,27.940001
2/8/2017,29.120001,8.63378,21.921499,27.5
2/9/2017,29.68,8.697,22.052299,27.540001
2/10/2017,29.719999,8.77828,22.3829,27.57
2/13/2017,29.856001,8.76022,22.444901,28.530001
2/14/2017,29.431999,8.72409,22.307199,28.16
2/15/2017,29.888,9.05824,22.789301,28.85
2/16/2017,29.719999,9.03115,22.713499,29.5
2/17/2017,29.879999,9.17565,22.6653,28.74
2/20/2017,29.92,9.30208,22.754801,28.799999
2/21/2017,30.056,9.36364,23.3953,29.389999
2/22/2017,30.16,9.40909,23.546801,29.32
2/23/2017,30.16,9.29091,23.1887,29.32
2/24/2017,29.584,9.12727,23.0165,28.620001
3/1/2017,29.76,9.08182,22.8099,28.42
3/2/2017,29.591999,8.97273,22.727301,28.940001
